Ticker,Weight,WeightPct,InLatestEligibleBasket,Reason,Score,EligibleNow,Mom21,Mom63,Mom126,RS63VsSPY,RS126VsSPY,Vol63Ann,AboveSMA50,AboveSMA126,PositiveMom63,PositiveMom126,OutperformSPY63DiagnosticOnly,OutperformSPY126DiagnosticOnly
SGOV,0.17922830668070105,17.922830668070105,False,Cash/volatility-control sleeve or cash residual after pruning.,,,,,,,,,,,,,,
AVUV,0.08804269202539203,8.804269202539203,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,18.2610727180411,True,0.0027252030464004484,0.058684998750337725,0.162465985667527,0.023562190432306895,0.10039653881993904,0.1312698533938909,True,True,True,True,True,True
EWY,0.08100925950267476,8.100925950267476,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,-9.017655692883515,False,-0.2770678002659971,-0.051961546188211805,0.16247220095519332,-0.08708435450624263,0.10040275410760535,0.7926114903329973,False,False,False,True,False,True
EIS,0.07892879590603424,7.892879590603425,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,-6.230491588007027,False,-0.0390191294855089,-0.09498066372500635,-0.03343663489130477,-0.13010347204303718,-0.09550608173889275,0.26522272451580187,False,False,False,False,False,False
EWT,0.07712173298619565,7.7121732986195655,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,10.124792929243656,False,-0.17070252105090533,0.03303127850413068,0.2652057396536456,-0.0020915298139001504,0.2031362928060576,0.42880039736787146,False,True,True,True,False,True
XLE,0.061505001206214154,6.150500120621415,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,18.2313536017808,True,0.11033704656387111,0.006188018117152971,0.19447254888537224,-0.028934790200877858,0.13240310203778427,0.2482369565690937,True,True,True,True,False,True
AVDV,0.06047978774292503,6.047978774292503,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,3.0640923579227826,False,-0.008733639002678317,-0.0015352443236157365,0.0025475135385792935,-0.036658052641646566,-0.05952193330900868,0.18448331121501596,False,False,False,True,False,False
GLDM,0.0580283245225428,5.80283245225428,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,-12.335905991536434,False,-0.000944308108427272,-0.11809491892676671,-0.25455656331479815,-0.15321772724479754,-0.3166260101623861,0.239071401095261,False,False,False,False,False,False
CIBR,0.05571334757090887,5.571334757090887,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,24.849891119392865,True,-0.012465165678440249,0.3084764835770153,0.24403191904713406,0.27335367525898446,0.1819624721995461,0.32256659510182495,True,True,True,True,True,True
LIT,0.04803679682332303,4.8036796823323025,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,-15.633603132295155,False,-0.14997442573893427,-0.21445829339137656,-0.10576703619756866,-0.2495811017094074,-0.16783648304515664,0.34262982924112645,False,False,False,False,False,False
OIH,0.04600552967625968,4.600552967625967,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,-1.303224610599999,False,-0.0034943090536627697,-0.16835656152918888,0.07804819911776084,-0.2034793698472197,0.01597875227017287,0.299781460042146,False,False,False,True,False,True
SPYD,0.036583047538896026,3.6583047538896025,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,21.03084021659387,True,0.062020534281504336,0.10725689583998776,0.15804958769915456,0.07213408752195694,0.09598014085156659,0.12217250236872564,True,True,True,True,True,True
EWS,0.03232934445448316,3.232934445448316,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,22.348317591502393,True,0.09253623124923616,0.167835531631239,0.14033809328190405,0.13271272331320816,0.07826864643431608,0.1626636884463319,True,True,True,True,True,True
KIE,0.03232934445448316,3.232934445448316,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,21.69572191101543,True,0.08427278355868628,0.15999498678007562,0.1552379794116039,0.12487217846204479,0.09316853256401592,0.2067460962278502,True,True,True,True,True,True
MLPA,0.032329344454483155,3.2329344454483158,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,18.694763590788128,True,0.06744532578864626,0.056802493963778566,0.14514993073086324,0.021679685645747737,0.08308048388327527,0.15851030777002106,True,True,True,True,True,True
DIV,0.032329344454483155,3.2329344454483158,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,19.104400742721914,True,0.060138188234278855,0.06464544606109057,0.1362252198846472,0.029522637743059743,0.07415577303705922,0.11944025141503535,True,True,True,True,True,True
